_	 1027480
√	 216631
r	 210965
a	 208045
i	 205986
n	 179439
t	 139547
e	 135796
u	 117634
s	 117123
l	 99940
g	 87826
m	 85013
o	 73053
v	 72609
r_	 70392
k	 65332
∞	 63892
√∞	 63495
d	 52569
in	 50484
_√	 48672
.	 45633
ar	 44926
._	 40649
f	 40610
≠	 40093
√≠	 39947
,	 38905
_s	 38835
,_	 38697
h	 38193
n_	 36289
i_	 35233
a_	 35130
an	 34217
ur	 33967
er	 33606
um	 33397
_e	 32473
t_	 28927
ei	 28843
°	 28187
√°	 28129
y	 27969
_h	 27516
st	 27200
m_	 26874
_v	 26285
b	 26256
∞_	 26109
√∞_	 26080
≠_	 25184
√≠_	 25182
i√	 24863
g_	 24806
∏	 24776
_t	 24741
_√≠	 24692
√∏	 24679
i√∞	 24160
_f	 24084
ri	 23895
≥	 23608
√≥	 23478
um_	 23266
_√≠_	 22636
r√	 22625
p	 22582
ti	 22253
_o	 22152
ur_	 22099
_a	 21349
nd	 21067
ni	 19681
j	 19471
og	 19058
na	 19013
ta	 18957
ir	 18916
og_	 18139
_og	 18127
_og_	 18039
i√∞_	 17190
nn	 17004
ar_	 16991
ng	 16377
va	 16253
en	 15607
ra	 15504
_er	 15037
la	 15028
_.	 14876
_._	 14076
nu	 14003
vi	 13941
er_	 13892
u_	 13818
il	 13511
in_	 13507
_m	 13460
li	 13395
un	 13375
at	 13324
_b	 13047
di	 12893
t√	 12776
he	 12524
is	 12524
sk	 12494
al	 12483
-	 12417
∫	 12382
a√	 12325
√∫	 12311
av	 12195
°_	 12190
√°_	 12183
_k	 12172
a√∞	 12132
ga	 11861
_,	 11699
ir_	 11692
tt	 11661
_,_	 11608
ka	 11465
S	 11202
_l	 11167
tu	 11161
∞i	 10999
√∞i	 10999
_er_	 10972
ki	 10952
_√°	 10898
_ei	 10496
ing	 10312
ha	 10251
le	 10235
num	 10165
)	 10151
s_	 10143
(	 10119
l_	 10039
_(	 10014
_S	 9993
¶	 9900
-_	 9883
ru	 9880
√¶	 9853
j√	 9821
ve	 9790
_he	 9763
r√∞	 9757
_-	 9719
on	 9617
_u	 9379
H	 9355
su	 9246
or	 9124
∞u	 9120
√∞u	 9120
_-_	 9063
_H	 8985
ma	 8916
si	 8873
te	 8747
it	 8709
at_	 8670
ll	 8640
ein	 8611
_i	 8577
_vi	 8547
var	 8513
_at	 8457
da	 8457
ni_	 8294
ri_	 8294
_at_	 8182
_n	 8147
el	 8071
v√	 8042
_ha	 8032
yr	 8013
√∏r	 8011
∏r	 8011
_va	 8007
me	 7998
se	 7983
and	 7922
am	 7893
b√	 7890
sa	 7812
v_	 7802
gu	 7747
ndi	 7569
l√	 7541
_g	 7536
F	 7530
ann	 7469
gi	 7434
T	 7375
rs	 7301
∞a	 7269
√∞a	 7269
ld	 7208
nn_	 7164
ag	 7127
as	 7071
ig	 7060
:	 7038
ini	 7023
es	 6985
sum	 6951
du	 6950
vi√	 6937
_su	 6936
s√	 6930
vi√∞	 6927
vu	 6911
ev	 6837
_F	 6827
om	 6782
an_	 6761
ik	 6729
c	 6717
f√	 6701
_T	 6683
)_	 6667
ro	 6656
mi	 6639
_st	 6633
ko	 6592
ns	 6577
∞ur	 6569
√∞ur	 6569
num_	 6559
